ISIL,   PPN
DE-35,  152766766
DE-46,  719605547
DE-206, 316083429
DE-27,  119974614
DE-Hil2, 16523315X
DE-Luen4, 638378788
DE-3,  303060670
DE-7,  328140449
DE-9,  312528434
DE-18,  633827789
DE-23,  500396140
DE-28,  749448555
DE-32,  798786078 
DE-33,  688816711
DE-84,  560850697
DE-89,  807096288
DE-95,  730851605
DE-104,  766516466
DE-204,  482605901
DE-205,  820693782
DE-354,  766527107
DE-517,  62085507X
DE-547,  119678012
DE-8, 785153314
DE-39, 246209755
DE-551, 596011334
DE-564, 227620798
DE-705, 346422884
DE-830, 785146563
DE-834, 720741343
DE-841, 682249866
DE-916, 626483794
DE-960, 633823007
DE-542, 587729902
DE-Ma9, 184933080
DE-Ma14, 525483411
DE-Va1, 603334571
DE-1041, 774533501
DE-960-3, 716761785
DE-Ilm1, 244456372
DE-Wim8, 472247654
DE-Fl3, 826194761
DE-Bs78, 564903515
DE-Q1, 800049667
DE-H105, 313958645
DE-253, 835689441
DE-B1565, 574885064
DE-1373, 432455310
